candidate_count,budget,method,trials,rounds_per_trial,signal_erasure_rate_mean,signal_erasure_rate_ci95,signal_survival_rate_mean,signal_survival_rate_ci95,mean_continuous_signal_tv_mean,mean_continuous_signal_tv_ci95,mean_instantaneous_allocation_tv_error_mean,mean_instantaneous_allocation_tv_error_ci95,mean_direction_coverage_mean,mean_direction_coverage_ci95,final_cumulative_allocation_tv_error_mean,final_cumulative_allocation_tv_error_ci95
16,4,systematic_stochastic,1000,10,0.29510000000000003,0.00906855323862863,0.7049000000000001,0.009068553238628633,0.09978884785699159,0.0006775316207846997,0.5046386385236631,0.0020681708753317214,3.9566,0.004130385937414566,0.17987762409713343,0.002275936491323177
16,8,cumulative_deficit,1000,10,0.0437,0.003990154913312544,0.9563,0.003990154913312543,0.09968450237088314,0.0007060047368776107,0.2714273085286813,0.001222842360751414,6.844399999999999,0.016854015107660526,0.025573425992787016,0.00021557778937915015
16,8,largest_remainder,1000,10,0.2552,0.00854613313303318,0.7448,0.008546133133033183,0.09968450237088314,0.0007060047368776107,0.20891508427086103,0.0007096713965267989,6.8613,0.01707205884740588,0.0683045792071147,0.0008140721008584618
16,8,systematic_stochastic,1000,10,0.10070000000000001,0.005686678461802455,0.8993000000000001,0.0056866784618024545,0.09968450237088314,0.0007060047368776107,0.2739104328928699,0.0012575000130057756,6.843799999999999,0.0167502148820424,0.09369130619122006,0.001254540822019983
16,16,cumulative_deficit,1000,10,0.009,0.0018798841358882638,0.991,0.0018798841358882632,0.09953603542149327,0.0007010386561358335,0.14474742362492587,0.0006292694736175764,9.451900000000002,0.0247500621696472,0.012670028087780137,0.00011046122560988264
16,16,largest_remainder,1000,10,0.0621,0.004760617483354742,0.9379000000000001,0.00476061748335474,0.09953603542149327,0.0007010386561358335,0.11020452511411626,0.0003678413817097123,9.375399999999999,0.02490482900667764,0.03454436379263457,0.00041270806513976903
16,16,systematic_stochastic,1000,10,0.014600000000000002,0.002358759056853473,0.9854,0.0023587590568534727,0.09953603542149327,0.0007010386561358335,0.14495395429267463,0.0006467241770075554,9.464099999999998,0.025276211788683573,0.048312122511607825,0.0006265965520071963
16,32,cumulative_deficit,1000,10,0.0005,0.0004373910274695984,0.9995,0.0004373910274695983,0.09974875290446715,0.0007305202166291658,0.0759123793898423,0.00032728935323390564,11.3632,0.0283648769759691,0.006338963415169463,5.6408252243335614e-05
16,32,largest_remainder,1000,10,0.0028000000000000004,0.0010599459143472091,0.9972,0.0010599459143472087,0.09974875290446715,0.0007305202166291658,0.057725059810111876,0.00018488826494523407,11.2276,0.028790926560919087,0.017760310397220428,0.00021221846611187232
16,32,systematic_stochastic,1000,10,0.0012,0.0006752155300435647,0.9987999999999999,0.0006752155300435645,0.09974875290446715,0.0007305202166291658,0.07603979805699447,0.00032592667623906175,11.366599999999998,0.028493288968110025,0.02439872498112847,0.00033632101976647453
