candidate_count,budget,baseline,metric,baseline_minus_cumulative_mean,ci95,ci95_low,ci95_high
4,16,systematic_stochastic,signal_erasure_rate,0.14020000000000002,0.010629883120295875,0.12957011687970416,0.15082988312029588
4,16,systematic_stochastic,final_cumulative_allocation_tv_error,0.00929721703681736,0.00035330163991484424,0.008943915396902516,0.009650518676732204
4,16,systematic_stochastic,mean_instantaneous_allocation_tv_error,-0.0013185153204382986,0.0004007836793728014,-0.0017192989998111,-0.0009177316410654973
4,32,largest_remainder,signal_erasure_rate,0.0955,0.00805907018285684,0.08744092981714316,0.10355907018285684
4,32,largest_remainder,final_cumulative_allocation_tv_error,0.0031406168195013216,0.00012737177272270048,0.0030132450467786212,0.003267988592224022
4,32,largest_remainder,mean_instantaneous_allocation_tv_error,-0.00509754565304153,0.00015373161865421628,-0.005251277271695746,-0.004943814034387314
4,32,systematic_stochastic,signal_erasure_rate,0.08289999999999999,0.008600994294082913,0.07429900570591708,0.0915009942940829
4,32,systematic_stochastic,final_cumulative_allocation_tv_error,0.00480567684262733,0.00018257345591181012,0.00462310338671552,0.00498825029853914
4,32,systematic_stochastic,mean_instantaneous_allocation_tv_error,-0.0005880641404836388,0.00020335461129018128,-0.0007914187517738202,-0.00038470952919345756
8,4,largest_remainder,signal_erasure_rate,0.39270000000000005,0.011580867222346592,0.38111913277765347,0.40428086722234663
8,4,largest_remainder,final_cumulative_allocation_tv_error,0.04463765007773133,0.0012249781328519066,0.043412671944879425,0.045862628210583234
8,4,largest_remainder,mean_instantaneous_allocation_tv_error,-0.06740625796917386,0.0014416311136700736,-0.06884788908284394,-0.06596462685550379
8,4,systematic_stochastic,signal_erasure_rate,0.2596,0.013161649256653024,0.24643835074334697,0.272761649256653
8,4,systematic_stochastic,final_cumulative_allocation_tv_error,0.06867236729572924,0.0017322806446381424,0.06694008665109111,0.07040464794036738
8,4,systematic_stochastic,mean_instantaneous_allocation_tv_error,-0.0036763183380247996,0.0019810605089772425,-0.0056573788470020425,-0.001695257829047557
8,8,largest_remainder,signal_erasure_rate,0.23860000000000003,0.009904416546729602,0.22869558345327043,0.24850441654672964
8,8,largest_remainder,final_cumulative_allocation_tv_error,0.02255469408153782,0.000612070097274533,0.021942623984263287,0.02316676417881235
8,8,largest_remainder,mean_instantaneous_allocation_tv_error,-0.03606988118869154,0.0007799055811127576,-0.0368497867698043,-0.03528997560757878
8,8,systematic_stochastic,signal_erasure_rate,0.13210000000000002,0.010022048613053242,0.12207795138694678,0.14212204861305328
8,8,systematic_stochastic,final_cumulative_allocation_tv_error,0.0361649880325309,0.0009427410840823977,0.0352222469484485,0.037107729116613294
8,8,systematic_stochastic,mean_instantaneous_allocation_tv_error,-0.0021291212390636594,0.0010549619121612037,-0.0031840831512248632,-0.0010741593269024557
8,16,largest_remainder,signal_erasure_rate,0.08619999999999998,0.006652772736316872,0.07954722726368312,0.09285277273631685
8,16,largest_remainder,final_cumulative_allocation_tv_error,0.011740802564864069,0.00030763569523824876,0.011433166869625819,0.012048438260102318
8,16,largest_remainder,mean_instantaneous_allocation_tv_error,-0.018941058806153314,0.0003808171333786204,-0.019321875939531934,-0.018560241672774695
8,16,systematic_stochastic,signal_erasure_rate,0.0439,0.006251436196468658,0.03764856380353134,0.05015143619646866
8,16,systematic_stochastic,final_cumulative_allocation_tv_error,0.01795316983362072,0.00046822025711817813,0.01748494957650254,0.0184213900907389
8,16,systematic_stochastic,mean_instantaneous_allocation_tv_error,-0.001671789258118788,0.0004932763420861851,-0.0021650656002049733,-0.001178512916032603
8,32,largest_remainder,signal_erasure_rate,0.016200000000000003,0.0031483116685554436,0.013051688331444558,0.019348311668555447
8,32,largest_remainder,final_cumulative_allocation_tv_error,0.00600013390702499,0.00016617255033911214,0.005833961356685878,0.006166306457364102
8,32,largest_remainder,mean_instantaneous_allocation_tv_error,-0.00981235313073855,0.0001924945533286432,-0.010004847684067193,-0.009619858577409907
8,32,systematic_stochastic,signal_erasure_rate,0.0085,0.0029203144756407037,0.0055796855243592965,0.011420314475640705
8,32,systematic_stochastic,final_cumulative_allocation_tv_error,0.009150488859619988,0.00023567621766361625,0.008914812641956371,0.009386165077283605
8,32,systematic_stochastic,mean_instantaneous_allocation_tv_error,-0.0006545721575802748,0.0002651152916831596,-0.0009196874492634344,-0.0003894568658971151
16,4,largest_remainder,signal_erasure_rate,0.31589999999999996,0.01040192429952906,0.3054980757004709,0.32630192429952903
16,4,largest_remainder,final_cumulative_allocation_tv_error,0.08373089253671762,0.001650324885613642,0.08208056765110397,0.08538121742233126
16,4,largest_remainder,mean_instantaneous_allocation_tv_error,-0.1040688214577587,0.001558513435482306,-0.105627334893241,-0.1025103080222764
16,4,systematic_stochastic,signal_erasure_rate,0.1673,0.010964093892834505,0.1563359061071655,0.1782640938928345
16,4,systematic_stochastic,final_cumulative_allocation_tv_error,0.12867433220341787,0.002294887290237304,0.12637944491318057,0.13096921949365517
16,4,systematic_stochastic,mean_instantaneous_allocation_tv_error,0.007243900744365672,0.0022850526319378403,0.004958848112427831,0.009528953376303512
16,8,largest_remainder,signal_erasure_rate,0.2115,0.008574162621776233,0.20292583737822376,0.22007416262177623
16,8,largest_remainder,final_cumulative_allocation_tv_error,0.04273115321432769,0.0008069813432008798,0.041924171871126806,0.04353813455752857
16,8,largest_remainder,mean_instantaneous_allocation_tv_error,-0.06251222425782024,0.0009366053650415294,-0.06344882962286177,-0.06157561889277871
